Description group,Broad Description,Answers,Opportunity designed (mentions),Opportunity designed (sentiment),Mckinsey & company (mentions),Mckinsey & company (sentiment),Circana (mentions),Circana (sentiment),Nielseniq (mentions),Nielseniq (sentiment),Boston consulting group (mentions),Boston consulting group (sentiment)
"Channel, Omnichannel & Category Strategy",Select and prioritize retailers and banners,1,-,-,1,100%,-,-,1,100%,-,-
"Brand, Portfolio & Positioning Strategy",Portfolio and price architecture integration,1,-,-,-,-,-,-,-,-,1,100%
Assortment & SKU Optimization,Optimize product mix by store and category,4,-,-,-,-,5,100%,-,-,-,-
"Channel, Omnichannel & Category Strategy",Retailer- and channel-specific assortments and packs,3,-,-,-,-,1,100%,-,-,-,-
Commercial Transformation & Ways of Working,Training and category management advisory support,1,-,-,-,-,-,-,1,100%,-,-
Assortment & SKU Optimization,Store-cluster and channel-specific assortments,4,-,-,-,-,3,100%,2,100%,-,-
"Channel, Omnichannel & Category Strategy",Category role definition and value pool analysis,2,-,-,1,100%,-,-,-,-,1,0%
"Data, Analytics & Shopper Insight",Baseline and post-promo performance decomposition,3,-,-,-,-,1,0%,-,-,-,-
Commercial Transformation & Ways of Working,Helps build internal data and analytics practices,2,-,-,-,-,1,100%,1,100%,-,-
"Data, Analytics & Shopper Insight",Access to retailer and syndicated data sources,5,-,-,-,-,3,33%,2,50%,-,-
"Channel, Omnichannel & Category Strategy",Buyer-ready sell-in decks for retailers,2,-,-,-,-,1,100%,-,-,-,-
"Data, Analytics & Shopper Insight",Identifying latent consumer tensions,1,-,-,1,100%,-,-,-,-,-,-
Commercial Transformation & Ways of Working,Shopper and loyalty data-driven management routines,3,-,-,-,-,1,0%,1,100%,-,-
Commercial Transformation & Ways of Working,Retail organization design and capability building,1,-,-,-,-,-,-,-,-,1,100%
"Data, Analytics & Shopper Insight",Shopper insights linked directly to execution,3,-,-,1,100%,1,100%,-,-,-,-
"Data, Analytics & Shopper Insight",Reveals cross-purchase and adjacency opportunities,1,-,-,-,-,1,0%,-,-,-,-
"Channel, Omnichannel & Category Strategy",Used for retail and channel strategy decisions,2,-,-,1,100%,1,100%,-,-,-,-
"Channel, Omnichannel & Category Strategy",Channel strategies and operating models,3,-,-,1,0%,-,-,-,-,1,0%
"Data, Analytics & Shopper Insight",Data buyers and retailers know and trust,1,-,-,-,-,-,-,1,100%,-,-
"Channel, Omnichannel & Category Strategy",Data shows likely winning channels,2,-,-,1,100%,1,0%,2,50%,1,100%
Assortment & SKU Optimization,Support large-scale assortment reset programs,3,-,-,2,100%,-,-,-,-,1,100%
