Domain,Pages,Answers,Opportunity designed (citations),Opportunity designed (citations diff),Opportunity designed (sentiment score),Opportunity designed (sentiment score diff),Mckinsey & company (citations),Mckinsey & company (citations diff),Mckinsey & company (sentiment score),Mckinsey & company (sentiment score diff),Circana (citations),Circana (citations diff),Circana (sentiment score),Circana (sentiment score diff),Nielseniq (citations),Nielseniq (citations diff),Nielseniq (sentiment score),Nielseniq (sentiment score diff),Boston consulting group (citations),Boston consulting group (citations diff),Boston consulting group (sentiment score),Boston consulting group (sentiment score diff)
voodoobrands.co,2,1,-,-,-,-,-,-,-,-,2,-,0%,-,-,-,-,-,-,-,-,-
apexbrands.io,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
bcg.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-
bravocpg.com,1,1,-,-,-,-,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-
cpgconsult.com,1,1,-,-,-,-,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-
dibuonoretailconsulting.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-
donegertobe.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-
emergingbrandsmanagement.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
lafley.co,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
mckinsey.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
nextwavebrands.org,1,1,-,-,-,-,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-
nicholashall.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
pdf.marketpublishers.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
theboutiqueconsultancy.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
thegaragegroup.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
