Domain,Pages,Answers,Opportunity designed (citations),Opportunity designed (citations diff),Opportunity designed (sentiment score),Opportunity designed (sentiment score diff),Mckinsey & company (citations),Mckinsey & company (citations diff),Mckinsey & company (sentiment score),Mckinsey & company (sentiment score diff),Circana (citations),Circana (citations diff),Circana (sentiment score),Circana (sentiment score diff),Nielseniq (citations),Nielseniq (citations diff),Nielseniq (sentiment score),Nielseniq (sentiment score diff),Boston consulting group (citations),Boston consulting group (citations diff),Boston consulting group (sentiment score),Boston consulting group (sentiment score diff)
en.wikipedia.org,17,34,-,-,-,-,16,-,49%,-,3,-,100%,-,4,-,100%,-,7,-,67%,-
mckinsey.com,17,29,-,-,-,-,30,-,72%,-,12,-,94%,-,7,-,100%,-,14,-,76%,-
circana.com,3,12,-,-,-,-,10,-,88%,-,12,-,100%,-,6,-,100%,-,5,-,91%,-
nielseniq.com,8,11,-,-,-,-,8,-,100%,-,9,-,90%,-,12,-,100%,-,2,-,100%,-
matrixxcpg.com,1,7,-,-,-,-,5,-,58%,-,2,-,100%,-,1,-,100%,-,3,-,100%,-
columbusconsulting.com,6,6,-,-,-,-,5,-,69%,-,2,-,100%,-,-,-,-,-,3,-,63%,-
lek.com,6,6,-,-,-,-,6,-,100%,-,3,-,100%,-,2,-,100%,-,5,-,75%,-
planpivotcollective.com,3,6,-,-,-,-,5,-,75%,-,2,-,100%,-,1,-,100%,-,1,-,100%,-
cpgconsult.com,1,5,-,-,-,-,2,-,25%,-,1,-,100%,-,-,-,-,-,2,-,33%,-
off-shelf.com,1,5,-,-,-,-,1,-,0%,-,2,-,100%,-,2,-,100%,-,-,-,-,-
theretaillaunchco.com,1,5,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
deloitte.com,3,4,-,-,-,-,4,-,63%,-,1,-,100%,-,1,-,100%,-,2,-,0%,-
greenretailconsulting.com,3,4,-,-,-,-,1,-,0%,-,-,-,-,-,1,-,100%,-,-,-,-,-
wipro.com,2,4,-,-,-,-,4,-,89%,-,3,-,100%,-,2,-,100%,-,2,-,75%,-
marketpathpartners.com,1,4,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
temeritymarketing.com,1,4,-,-,-,-,2,-,50%,-,1,-,100%,-,-,-,-,-,-,-,-,-
bain.com,3,3,-,-,-,-,3,-,75%,-,-,-,-,-,-,-,-,-,2,-,40%,-
hatcherygroup.com,3,3,-,-,-,-,1,-,100%,-,1,-,100%,-,1,-,100%,-,1,-,100%,-
kantar.com,3,3,-,-,-,-,2,-,33%,-,2,-,67%,-,2,-,100%,-,1,-,100%,-
bcg.com,2,3,-,-,-,-,3,-,100%,-,2,-,100%,-,-,-,-,-,3,-,100%,-
bosstrategy.com,2,3,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
frontrowgroup.com,2,3,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
crossstratinc.com,1,3,-,-,-,-,2,-,100%,-,1,-,100%,-,1,-,100%,-,1,-,100%,-
end2endoutdoor.com,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
naturalrootedstrategies.com,1,3,-,-,-,-,1,-,50%,-,1,-,100%,-,-,-,-,-,1,-,50%,-
susielevittconsulting.com,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
theoryhouse.com,1,3,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
apexbrands.io,2,2,-,-,-,-,2,-,25%,-,-,-,-,-,-,-,-,-,-,-,-,-
cpgscout.ai,2,2,-,-,-,-,2,-,33%,-,2,-,75%,-,1,-,0%,-,2,-,33%,-
dunnhumby.com,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
