# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: adelitaodm
# Property: opportunity designed
# ----------------------------------------
# 
# All Users
# Start date: 20260704
# End date: 20260731
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,200,80,2.5,46.1125,581,0,0
/about,48,13,3.6923076923076925,61.38461538461539,134,0,0
/contact,29,8,3.625,55.125,92,0,0
/field-notes,18,4,4.5,37.5,44,0,0
/opportunity-review,15,6,2.5,40.833333333333336,55,0,0
/opportunity-review.html,10,2,5,323,29,0,0
/field-notes/performance-premium,8,2,4,37.5,19,0,0
/index.html,6,1,6,26,15,0,0
/about.html,5,1,5,19,8,0,0
/contact.html,5,1,5,49,11,0,0
/privacy,3,1,3,2,6,0,0
